NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Daniel Burke",Chevy Chase Fencing Club,25,36,41.0%,18,28,39.1%,7,8,46.7%
"
                    Ido Dolev",PDX Fencing,75,122,38.1%,62,94,39.7%,13,28,31.7%
"
                    Sydney Brock",Laguna Fencing Center,111,83,57.2%,91,57,61.5%,20,26,43.5%
"
                    Tad Lundborg",Atlantic Fencing Academy,30,14,68.2%,24,9,72.7%,6,5,54.5%
"
                    Lev Elterman",Windy City Fencing-Chicago,63,91,40.9%,55,69,44.4%,8,22,26.7%
"
                    Paul Wakeham",Youth Enrichment League Fencing Club,147,121,54.9%,105,91,53.6%,42,30,58.3%
"
                    Isaac Guevara",Naples Fencing Academy,102,119,46.2%,76,93,45.0%,26,26,50.0%
"
                    Valeryn Borges",Masters Fencing Club / Epee Miami Fencing Club,153,87,63.7%,119,58,67.2%,34,29,54.0%
"
                    Darrin Whitmer",Fencers Club Inc.,-,-,-,-,-,-,-,-,-
"
                    Ajit Sivakumar",Penta Olympic Fencing Club,773,382,66.9%,549,253,68.5%,224,129,63.5%
"
                    Bruce Tabor",Texas Fencing Academy,6,2,75.0%,4,1,80.0%,2,1,66.7%
"
                    Tristan Hardy",Chevy Chase Fencing Club,52,38,57.8%,41,28,59.4%,11,10,52.4%
"
                    Joanne Groening",North Shore Fencers Club / Hills Fencing Institute (H3),79,85,48.2%,64,62,50.8%,15,23,39.5%
"
                    Dina Dank",Bergen Fencing Club,277,221,55.6%,228,159,58.9%,49,62,44.1%
"
                    Luke Zhang",Silicon Valley Fencing Center,272,207,56.8%,209,153,57.7%,63,54,53.8%
"
                    Jonah Daniels","Bozeman Fencing Association, LLC",66,44,60.0%,51,30,63.0%,15,14,51.7%
"
                    Thomas Fitzgerald",Central Iowa Fencing Academy,13,35,27.1%,10,29,25.6%,3,6,33.3%
"
                    Georgiana Bordas Hill","Avant Garde Fencers Club, Inc (CA) (AGFC)",60,38,61.2%,42,27,60.9%,18,11,62.1%
"
                    Jie Zhang",North Shore Fencers Club,18,9,66.7%,11,6,64.7%,7,3,70.0%
"
                    Siqi Wang",Future Stars Fencing & Sports Center,40,37,51.9%,30,27,52.6%,10,10,50.0%
"
                    Kerem Dulger",Freehold Fencing Academy,48,55,46.6%,34,41,45.3%,14,14,50.0%
"
                    Joshua Fullerton",Invictus Fencing,160,98,62.0%,113,71,61.4%,47,27,63.5%
"
                    AMELIYA AYUPOVA",United Fencing Academy / United Fencing Academy,370,117,76.0%,248,70,78.0%,122,47,72.2%
"
                    Abdoulaye Thiam",New Jersey Fencing Alliance,-,-,-,-,-,-,-,-,-
"
                    Katarzyna Trzopek ",New York Athletic Club,-,-,-,-,-,-,-,-,-
"
                    Preston Yen",Integrity Fencing Studio,419,281,59.9%,315,202,60.9%,104,79,56.8%
"
                    Daniil Mazur",Penta Olympic Fencing Club,226,49,82.2%,137,30,82.0%,89,19,82.4%
"
                    Jana Wick",Napa Valley Fencing Academy,19,16,54.3%,13,12,52.0%,6,4,60.0%
"
                    Aurelie Sulter",Austin Fencers Club,131,148,47.0%,101,112,47.4%,30,36,45.5%
"
                    Ian Carman",Boston Fencing Club / New England Fencing Alliance,43,37,53.8%,35,27,56.5%,8,10,44.4%
"
                    Annie D'Arcy",Fencing Institute Of Texas,34,44,43.6%,27,35,43.5%,7,9,43.8%
"
                    Daniel Rieker",Pittsburgh Fencing Association College,10,10,50.0%,8,8,50.0%,2,2,50.0%
"
                    Sean Holmes",Oxford  Fencers Club,-,-,-,-,-,-,-,-,-
"
                    Rachel Hendrian",University Of Michigan Fencing Club / Plymouth/Ann Arbor Fencing Academy,49,71,40.8%,38,55,40.9%,11,16,40.7%
"
                    Miles Flanagan",Beverly Hills Fencers' Club,125,229,35.3%,95,182,34.3%,30,47,39.0%
"
                    Rishi Kandagadla",Orlando Fencing Academy,144,184,43.9%,109,141,43.6%,35,43,44.9%
"
                    Soren Johnson",Memphis University School Fencing Team / Nashville Elite Fencing Club,114,185,38.1%,93,145,39.1%,21,40,34.4%
"
                    Bogdan Hamilton",Columbia University NCAA,381,119,76.2%,260,70,78.8%,121,49,71.2%
"
                    Yuzhe (Charlie) Tian",Star Fencing Academy,78,64,54.9%,58,45,56.3%,20,19,51.3%
"
                    Amara Kindel",Fencing Club Asheville / Fencing Institute Of Texas,110,142,43.7%,87,108,44.6%,23,34,40.4%
"
                    Ryan Kim-Cogan","Stamford Fencing Center, LLC",355,167,68.0%,243,116,67.7%,112,51,68.7%
"
                    George Schleh",Recreational Fencing of Manassas,-,-,-,-,-,-,-,-,-
"
                    Oscar Viveros",On Point Fencing Club,160,213,42.9%,122,162,43.0%,38,51,42.7%
"
                    Darius Wei",Research Triangle Fencing / Duke University Fencing NCAA,-,-,-,-,-,-,-,-,-
"
                    John Bayer",Chesapeake Fencing Club,27,25,51.9%,19,19,50.0%,8,6,57.1%
"
                    Henry Pan",AIC  Fencing Club,292,328,47.1%,233,250,48.2%,59,78,43.1%
"
                    Yikun Liu",Yang Fencing Club,321,394,44.9%,241,301,44.5%,80,93,46.2%
"
                    Trevor Wu",Massialas Foundation (M Team),122,73,62.6%,91,50,64.5%,31,23,57.4%
"
                    Julio Benjamin",New York Athletic Club / Long Island Fencing Center,17,5,77.3%,14,2,87.5%,3,3,50.0%
"
                    Adrian Villasenor",San Diego Fencing Center / San Diego Fencing Center,-,-,-,-,-,-,-,-,-
"
                    Nathan Anthony Palma",Columbus Fencing And Fitness LLC / Bluegrass Fencers' Club,677,400,62.9%,496,270,64.8%,181,130,58.2%
"
                    Bridgette Ouyang",Star Fencing Academy,466,238,66.2%,343,154,69.0%,123,84,59.4%
"
                    Damian Murphy",Manchen Academy Of Fencing / Masters Fencing Academy NJ,106,118,47.3%,74,89,45.4%,32,29,52.5%
"
                    Maxwell Rodney",Alliance Fencing Academy,134,142,48.6%,104,113,47.9%,30,29,50.8%
"
                    Michael Kuo",Las Positas Fencing Center,54,114,32.1%,44,90,32.8%,10,24,29.4%
"
                    Matt Martone",Boston Fencing Club,30,20,60.0%,22,13,62.9%,8,7,53.3%
"
                    Chandler Wimmer",Duke University Fencing NCAA,260,129,66.8%,179,87,67.3%,81,42,65.9%
"
                    Andrea Cipriani",New York Athletic Club / Fencers Club Inc.,77,30,72.0%,63,20,75.9%,14,10,58.3%
"
                    Sharika Gajjala",Medeo Fencing Club,759,270,73.8%,504,163,75.6%,255,107,70.4%
"
                    Wang Yung",Infinity Fencing Alliance,70,47,59.8%,50,34,59.5%,20,13,60.6%
"
                    George Sun",Dynamo Fencing Center Inc.,28,9,75.7%,17,6,73.9%,11,3,78.6%
"
                    Mark Dammer",Hills Fencing Institute (H3),87,39,69.0%,68,25,73.1%,19,14,57.6%
"
                    Aarthi Mallavarpu",Illinois Fencing Academy,455,227,66.7%,334,153,68.6%,121,74,62.1%
"
                    Jeffrey Goodrich",Vivo Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Aahil Cunningham-Snelson",Globus Fencing Academy / Globus Fencing Academy,144,157,47.8%,116,121,48.9%,28,36,43.8%
"
                    Beatrix Williamson",Riverside Fencing Club,71,53,57.3%,51,38,57.3%,20,15,57.1%
"
                    Megan Floyd",Candlewood Fencing Center,-,-,-,-,-,-,-,-,-
"
                    Chelsea Chi",DC Fencers Club,325,198,62.1%,241,136,63.9%,84,62,57.5%
"
                    Benjamin Towne",Plymouth/Ann Arbor Fencing Academy,106,132,44.5%,84,99,45.9%,22,33,40.0%
"
                    Andy Yang",Maximum Fencing Club,103,79,56.6%,78,58,57.4%,25,21,54.3%
"
                    Robby Tarchichi",Pittsburgh Fencers Club,51,36,58.6%,41,25,62.1%,10,11,47.6%
"
                    Edward Mufel",New York Fencing Academy / New York Fencing Academy,11,3,78.6%,8,1,88.9%,3,2,60.0%
"
                    Duane Chan",Conejo Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Danika Yam",San Diego Fencing Center,291,156,65.1%,211,103,67.2%,80,53,60.2%
"
                    Joseph Longuevan",Denver Fencing Center,-,-,-,-,-,-,-,-,-
"
                    Shawn Smith",New Trier X-Caliber Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Judy Maul",Stoccata Fencing Academy & Club,88,216,28.9%,71,168,29.7%,17,48,26.2%
"
                    Katelyn Miyashiro",South Coast Fencing Center,198,95,67.6%,149,61,71.0%,49,34,59.0%
"
                    Esmond Stone",Cardinal Fencing Club,500,431,53.7%,382,315,54.8%,118,116,50.4%
"
                    Alston Huang",Gryphon Fencing,52,113,31.5%,43,89,32.6%,9,24,27.3%
"
                    Cole Cook",Laguna Fencing Center,230,128,64.2%,163,87,65.2%,67,41,62.0%
"
                    Jyotika Sadani",Lone Star Fencing Center,43,60,41.7%,32,45,41.6%,11,15,42.3%
"
                    Hannah McPherson",Seacoast Fencing Club,19,35,35.2%,18,28,39.1%,1,7,12.5%
"
                    Julio Robles",Capital Fencing Academy,12,10,54.5%,10,7,58.8%,2,3,40.0%
"
                    Drew Laun",Drew University NCAA,31,17,64.6%,21,11,65.6%,10,6,62.5%
"
                    Fraser Ward",Brooklyn Bridge Fencing Club,6,1,85.7%,5,-,100.0%,1,1,50.0%
"
                    Maximilian De Coquet",Lotus Fencing Academy,219,262,45.5%,166,203,45.0%,53,59,47.3%
"
                    Ethan Boroditsky",Medeo Fencing Club,482,232,67.5%,344,151,69.5%,138,81,63.0%
"
                    Rob Rountree",Richmond Fencing Club,208,197,51.4%,159,147,52.0%,49,50,49.5%
"
                    Vitalijs Kuceba",SCAD- Atlanta Fencing / Epic Fencing Club,117,27,81.2%,79,14,84.9%,38,13,74.5%
"
                    Shelby Saccomanno",Sword In The Scroll Fencing Academy,12,29,29.3%,11,23,32.4%,1,6,14.3%
"
                    Charles Lucasey",Halberstadt Fencers' Club,32,38,45.7%,28,28,50.0%,4,10,28.6%
"
                    Tia Goodson",New Jersey Fencing Alliance,7,15,31.8%,4,12,25.0%,3,3,50.0%
"
                    Ilia Andreev",Nellya Fencers,30,5,85.7%,21,2,91.3%,9,3,75.0%
"
                    Eli Rozalski",Salle Auriol Seattle,373,244,60.5%,273,169,61.8%,100,75,57.1%
"
                    Nolan Ku",Fencing Academy Of Philadelphia,34,43,44.2%,28,33,45.9%,6,10,37.5%
"
                    Ashley James",Academy Of Fencing Masters (AFM),144,282,33.8%,118,225,34.4%,26,57,31.3%
"
                    Grace Fan",Columbus International Fencing Academy,248,203,55.0%,189,146,56.4%,59,57,50.9%
"
                    Connor Liang",Laguna Fencing Center / Spartak,378,144,72.4%,266,89,74.9%,112,55,67.1%
"
                    James Grady",Seacoast Fencing Club,8,6,57.1%,6,4,60.0%,2,2,50.0%
"
                    Daniel Miller",Fencing Club at Indiana University,7,8,46.7%,6,6,50.0%,1,2,33.3%
"
                    Sansana Sawasdikosol",Cobra Fencing Club LLC,29,44,39.7%,23,34,40.4%,6,10,37.5%
"
                    Maxwell Huang",Manhattan Fencing Center,310,346,47.3%,231,263,46.8%,79,83,48.8%
"
                    J P Lapp",Traverse City Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Aleksandr Fotiyev","Stamford Fencing Center, LLC",7,3,70.0%,4,2,66.7%,3,1,75.0%
"
                    Viola Maria Cremona",Tampa Fencing & Tennis Academy,175,88,66.5%,125,56,69.1%,50,32,61.0%
"
                    Olga Sadova",Brandeis University NCAA,174,207,45.7%,139,160,46.5%,35,47,42.7%
"
                    Sean McGrath",Hub City Fencing Academy,13,13,50.0%,8,10,44.4%,5,3,62.5%
"
                    Caroline (Karolina) Nixon",TeamK Fencing / Fencers Club Inc.,156,67,70.0%,117,44,72.7%,39,23,62.9%
"
                    Douglas Jauer",Sioux City Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Achiel DePauw",Traverse City Fencing Club,10,22,31.2%,9,17,34.6%,1,5,16.7%
"
                    Rohan Shah",Bucks County Academy Of Fencing,28,14,66.7%,20,10,66.7%,8,4,66.7%
"
                    Adam Wong",New York University NCAA,277,97,74.1%,196,63,75.7%,81,34,70.4%
"
                    Harry Dweck",Freehold Fencing Academy,6,1,85.7%,4,1,80.0%,2,-,100.0%
"
                    Jonathan Herron",Still Point Fencing,19,67,22.1%,15,56,21.1%,4,11,26.7%
"
                    Emily Cascone",South Brooklyn Fencing,646,185,77.7%,446,100,81.7%,200,85,70.2%
"
                    Marc Kuritz",No Fear Fencing,119,117,50.4%,87,85,50.6%,32,32,50.0%
"
                    Julia Peeler","Fencing Sports Academy, Inc.",220,228,49.1%,176,175,50.1%,44,53,45.4%
"
                    William Curtis",Birmingham Fencing Club,138,110,55.6%,107,78,57.8%,31,32,49.2%
"
                    Anton Korablin",SCAD- Atlanta Fencing / Epic Fencing Club,61,30,67.0%,48,21,69.6%,13,9,59.1%
"
                    Quinton Long",Salle De Long Fencers,54,49,52.4%,39,38,50.6%,15,11,57.7%
"
                    Inaaya Shakir",Platinum Fencing Academy,89,85,51.1%,66,62,51.6%,23,23,50.0%
"
                    Congyu Josh Sima",Jovanovic Fencing / Cambridge Fencing Center,549,411,57.2%,397,297,57.2%,152,114,57.1%
"
                    Michelle Lee",Yale University Fencing NCAA / Yale University Fencing NCAA,504,228,68.9%,353,149,70.3%,151,79,65.7%
"
                    Lena Yan",Sheridan Fencing Academy / Sheridan Fencing Academy,97,167,36.7%,82,135,37.8%,15,32,31.9%
"
                    Tommy Gerrity",Mission Fencing Center,17,3,85.0%,16,3,84.2%,1,-,100.0%
"
                    Leighton Priest",Renaissance Fencing Club,179,113,61.3%,139,78,64.1%,40,35,53.3%
"
                    Soraya Henry",DC Fencers Club,306,287,51.6%,229,219,51.1%,77,68,53.1%
"
                    Julian Goor",Massialas Foundation (M Team),707,314,69.2%,508,196,72.2%,199,118,62.8%
"
                    Brian Wang",Moe Fencing Club LLC,124,55,69.3%,92,35,72.4%,32,20,61.5%
"
                    Ishani Sood",California Fencing Academy,682,281,70.8%,482,179,72.9%,200,102,66.2%
"
                    Eileen Grench",Fencers Club Inc.,15,2,88.2%,10,1,90.9%,5,1,83.3%
"
                    Lucy Whittemore",The Ohio State University NCAA,197,171,53.5%,158,132,54.5%,39,39,50.0%
"
                    Sebastian Mulcahy",Battle Born Fencing Club,97,33,74.6%,69,18,79.3%,28,15,65.1%
"
                    Keegan Nash",West Shore Fencers Club,4,18,18.2%,4,15,21.1%,-,3,0.0%
"
                    Ganza Karamaga",Western Reserve Academy,64,53,54.7%,47,39,54.7%,17,14,54.8%
"
                    Justin Zhou",Kaizen Academy LLC,245,149,62.2%,179,102,63.7%,66,47,58.4%
"
                    Esther Duong",Laguna Fencing Center,13,4,76.5%,9,3,75.0%,4,1,80.0%
"
                    Kayla Alcebar",Advance Fencing And Fitness Academy,398,247,61.7%,300,173,63.4%,98,74,57.0%
"
                    Mateo Weiss",Denver Fencing Center,78,95,45.1%,60,78,43.5%,18,17,51.4%
"
                    Sathvik Visurakapalli",Columbus International Fencing Academy / Columbus Fencing And Fitness LLC,184,130,58.6%,133,94,58.6%,51,36,58.6%
"
                    Jacob Meyerson",International Fencing Club,265,218,54.9%,214,157,57.7%,51,61,45.5%
"
                    Carolina Stutchbury",Epic Fencing Club,334,74,81.9%,209,39,84.3%,125,35,78.1%
"
                    Borna Andric",Space City Fencing Academy,420,268,61.0%,312,184,62.9%,108,84,56.2%
"
                    Ziyue Luo",SoCAL Fencing Center,107,22,82.9%,60,12,83.3%,47,10,82.5%
"
                    Elina Chernykh",Fencing Institute Of Texas,221,181,55.0%,168,128,56.8%,53,53,50.0%
"
                    Yaroslav Muruhin",Silicon Valley Fencing Center,324,252,56.2%,240,188,56.1%,84,64,56.8%
"
                    Emily Jacobson ",Nellya Fencers,-,-,-,-,-,-,-,-,-
"
                    Miles Boyko",The Fencers Academy / Buccaneer Blades Fencing,231,253,47.7%,181,197,47.9%,50,56,47.2%
"
                    Aleksandra Korablina",SCAD- Atlanta Fencing / Epic Fencing Club,58,31,65.2%,45,20,69.2%,13,11,54.2%
"
                    Sreehitha Gandluri","Fencing Sports Academy, Inc.",221,286,43.6%,178,218,44.9%,43,68,38.7%
"
                    Victoria Fang",Laguna Fencing Center,324,191,62.9%,240,132,64.5%,84,59,58.7%
"
                    Paulina Morales",San Diego Fencing Center,144,272,34.6%,122,218,35.9%,22,54,28.9%
"
                    Tomas Remete",Alle Fencing Club,9,20,31.0%,7,16,30.4%,2,4,33.3%
"
                    Tomas Aguinaga",Masters Fencing Club,17,6,73.9%,10,4,71.4%,7,2,77.8%
"
                    Max Bryant",Fencing Academy Of Westchester,41,46,47.1%,34,35,49.3%,7,11,38.9%
"
                    Murad Mohamed",AIC  Fencing Club,321,200,61.6%,247,136,64.5%,74,64,53.6%
"
                    Javier Romero",Fencers Club Inc.,38,36,51.4%,30,27,52.6%,8,9,47.1%
"
                    Kevin Miller",Davis Fencing Academy / University of California Davis,46,16,74.2%,33,8,80.5%,13,8,61.9%
"
                    Jeffrey Longstreet",New York Fencing Academy,269,262,50.7%,214,196,52.2%,55,66,45.5%
"
                    Kevin Oh",Hills Fencing Institute (H3),77,58,57.0%,60,42,58.8%,17,16,51.5%
"
                    Kalnius Jakstas",Orion Fencing,69,69,50.0%,53,48,52.5%,16,21,43.2%
"
                    Chloe Chang",Arena Fencing Academy LLC,175,211,45.3%,135,165,45.0%,40,46,46.5%
"
                    Sam Han",Apex Fencing Academy,219,141,60.8%,154,98,61.1%,65,43,60.2%
"
                    Jack Sanders",Youth Enrichment League Fencing Club,41,78,34.5%,29,61,32.2%,12,17,41.4%
"
                    Frank Hewitt",Cabrillo Academy Of The Sword LLC,104,107,49.3%,85,77,52.5%,19,30,38.8%
"
                    Diego Cervantes",The Ohio State University NCAA,57,15,79.2%,36,8,81.8%,21,7,75.0%
"
                    Aidan Wang",Olympic Fencers Club,161,168,48.9%,122,127,49.0%,39,41,48.8%
"
                    Aidan Cipolla",Fencing Academy Of Philadelphia North / Fencing Academy Of Philadelphia,21,60,25.9%,16,50,24.2%,5,10,33.3%
"
                    Charlotte Yang",Medeo Fencing Club,124,221,35.9%,103,171,37.6%,21,50,29.6%
"
                    Victoria Nunley",AIC  Fencing Club,48,38,55.8%,36,28,56.2%,12,10,54.5%
"
                    WALBERT MENDOZA",The Fencing Center,24,2,92.3%,17,-,100.0%,7,2,77.8%
"
                    Boyan Yang",Elite Fencing Academy (GA) / Elite Fencing Academy (VA),210,91,69.8%,147,61,70.7%,63,30,67.7%
"
                    Anna Hu",Fencing Club Of Mercer County,482,308,61.0%,371,207,64.2%,111,101,52.4%
"
                    Jayne Jerkins",Capital Fencing Academy,78,51,60.5%,57,34,62.6%,21,17,55.3%
"
                    Hannah Luker",Lone Star Fencing Center,205,181,53.1%,154,136,53.1%,51,45,53.1%
"
                    Benjamin Choi",Premier Fencing Academy,34,67,33.7%,25,54,31.6%,9,13,40.9%
"
                    Carl Loeffler",LA International Fencing,101,58,63.5%,73,38,65.8%,28,20,58.3%
"
                    Polina Kharchyna",New York Fencing Academy,125,50,71.4%,87,31,73.7%,38,19,66.7%
"
                    Sawako Iizuka","Avant Garde Fencers Club, Inc (CA) (AGFC) / West Coast Fencing Academy",31,107,22.5%,24,87,21.6%,7,20,25.9%
"
                    Tedd Padgitt",Team Touche Fencing Center,8,-,100.0%,6,-,100.0%,2,-,100.0%
"
                    Keagan Clark",Miracle Fencing Club / Miracle Fencing Club,146,172,45.9%,112,129,46.5%,34,43,44.2%
"
                    Matthew Ackland",Fencers Club Inc.,62,131,32.1%,53,103,34.0%,9,28,24.3%
"
                    Rayn Patel",Capital Fencing Academy,320,190,62.7%,229,129,64.0%,91,61,59.9%
"
                    Nathan Cheng",The Ohio State University NCAA,388,297,56.6%,292,214,57.7%,96,83,53.6%
"
                    Ariel Lin",Maximum Fencing Club,532,429,55.4%,400,311,56.3%,132,118,52.8%
"
                    Marc Lindemann",Mission Fencing Center,106,83,56.1%,82,65,55.8%,24,18,57.1%
"
                    Lauren Scruggs",Peter Westbrook Foundation / Fencers Club Inc.,230,25,90.2%,131,8,94.2%,99,17,85.3%
"
                    Arushi Iyer",Halberstadt Fencers' Club,103,232,30.7%,83,192,30.2%,20,40,33.3%
"
                    Kristen Ruscitelli",The Ohio State University NCAA,6,9,40.0%,5,7,41.7%,1,2,33.3%
"
                    Bogdan Dolzhenko",Prime Fencing Academy,18,3,85.7%,11,1,91.7%,7,2,77.8%
"
                    Rebecca Meyer",New York Fencing Academy,212,316,40.2%,167,248,40.2%,45,68,39.8%
"
                    Aryaman Singh",ASER International Fencing Academy,355,339,51.2%,272,250,52.1%,83,89,48.3%
"
                    Sophia Jakel",DC Fencers Club,425,127,77.0%,289,72,80.1%,136,55,71.2%
"
                    Matthew MacNeil",Indianapolis Fencing Club,25,21,54.3%,16,15,51.6%,9,6,60.0%
"
                    Padraig Murphy",Youth Enrichment League Fencing Club,25,12,67.6%,18,8,69.2%,7,4,63.6%
"
                    Nathan Bass",Bay Regional Fencing Alliance,40,60,40.0%,35,44,44.3%,5,16,23.8%
"
                    Tristan Li",Alliance Fencing Academy,142,148,49.0%,110,111,49.8%,32,37,46.4%
"
                    William Isom Tate",Zeljkovic Fencing Academy,37,67,35.6%,33,52,38.8%,4,15,21.1%
"
                    Austin Loggins",Athens Fencing Club / University Of Tennessee Knoxville Fencing Club,136,59,69.7%,96,37,72.2%,40,22,64.5%
"
                    Michael DeSando",Drew University NCAA / Mission Fencing Center,193,113,63.1%,135,80,62.8%,58,33,63.7%
"
                    Mariasole Capellua",Nashville Elite Fencing Club,521,327,61.4%,388,230,62.8%,133,97,57.8%
"
                    Jaisimh Ramanan",Cardinal Fencing Club,455,365,55.5%,358,268,57.2%,97,97,50.0%
"
                    Garrick Wong",Birmingham Fencing Club,791,305,72.2%,558,185,75.1%,233,120,66.0%
"
                    Laura Carlucci",Salle Auriol Seattle,189,176,51.8%,145,127,53.3%,44,49,47.3%
"
                    Brendan Goeddeke",Renaissance Fencing Club,64,113,36.2%,46,93,33.1%,18,20,47.4%
"
                    Ethan Ojakovo",Bucks County Academy Of Fencing - West / Bucks County Academy Of Fencing,25,21,54.3%,20,15,57.1%,5,6,45.5%
"
                    William Firstman",Nellya Fencers,87,84,50.9%,68,61,52.7%,19,23,45.2%
"
                    Anna Novoseltseva",Grand Rapids Fencing Academy,226,71,76.1%,165,39,80.9%,61,32,65.6%
"
                    Jeffrey Safko",Modern Duelists Fencing Academy,34,14,70.8%,25,8,75.8%,9,6,60.0%
"
                    Mason Wang",Moe Fencing Club LLC,481,459,51.2%,379,339,52.8%,102,120,45.9%
"
                    Lubomir Kalpaktchiev",Syracuse Musketeers Fencing,-,-,-,-,-,-,-,-,-
"
                    Keith Baker",Nazlymov Fencing Foundation,187,179,51.1%,149,132,53.0%,38,47,44.7%
"
                    Ivan Kuntsevich",Orange County International Fencers Club,164,134,55.0%,120,97,55.3%,44,37,54.3%
"
                    Vaibhav Chhajed",West Berkeley Fencing Club,9,8,52.9%,6,6,50.0%,3,2,60.0%
"
                    Paul Brown",New Orleans Fencers Club / Mobetes,5,17,22.7%,3,14,17.6%,2,3,40.0%
"
                    Andrei Jaume",Austin Fencers Club,278,219,55.9%,204,167,55.0%,74,52,58.7%
"
                    Leila Probasco",Bergen Fencing Club / Fencing Club Of Mercer County,165,181,47.7%,134,133,50.2%,31,48,39.2%
"
                    Alberto Linaldi",Way Of The Sword.Org,29,10,74.4%,21,6,77.8%,8,4,66.7%
"
                    Paul Edmond Alexandre Denize",Miami Fencing Club / Davis Fencing Academy of Miami,41,44,48.2%,32,32,50.0%,9,12,42.9%
"
                    Martin Kong",Halberstadt Fencers' Club,46,36,56.1%,33,26,55.9%,13,10,56.5%
"
                    Tommaso Capellua",Nashville Elite Fencing Club / Nashville Elite Fencing Club,99,92,51.8%,81,71,53.3%,18,21,46.2%
"
                    Muriel Cawthorn",Rhode Island Fencing Academy And Club,108,149,42.0%,83,112,42.6%,25,37,40.3%
"
                    Matthew Chen",Elite Fencing Club,220,173,56.0%,166,125,57.0%,54,48,52.9%
"
                    Keane Swenson",Savage Fencing Club,54,33,62.1%,37,23,61.7%,17,10,63.0%
"
                    Marsel Nagimov",Columbia University NCAA,276,55,83.4%,174,31,84.9%,102,24,81.0%
"
                    Viktoria Jackson",Athens Fencing Club,134,175,43.4%,108,134,44.6%,26,41,38.8%
"
                    Alexandra Jing",Columbia University NCAA,474,177,72.8%,324,110,74.7%,150,67,69.1%
"
                    Mukul Sammi",Oregon Fencing Alliance,178,187,48.8%,132,140,48.5%,46,47,49.5%
"
                    Jaden Reese Vergara",Greensboro Fencing Academy,85,107,44.3%,73,80,47.7%,12,27,30.8%
"
                    Matthew Tallarico",Rochester Fencing Club / Rochester Institute of Technology Fencing Club,107,202,34.6%,85,161,34.6%,22,41,34.9%
"
                    Tatiana Nazlymov",Nazlymov Fencing Foundation,423,137,75.5%,287,81,78.0%,136,56,70.8%
"
                    Steven Nguyen",East Bay Fencers Gym,94,75,55.6%,80,51,61.1%,14,24,36.8%
"
                    Sekou Tounkara",ArtDu Fencing,7,1,87.5%,6,-,100.0%,1,1,50.0%
"
                    Livia Burberry",Bluegrass Fencers' Club,134,135,49.8%,98,102,49.0%,36,33,52.2%
"
                    David St. George",Crimson Blades Fencing Academy,7,25,21.9%,6,20,23.1%,1,5,16.7%
"
                    Jacob Lete",Greensboro Fencing Academy / Delta H Fencers,-,-,-,-,-,-,-,-,-
"
                    Miles Weiss",Alliance Fencing Academy / The Ohio State University NCAA,370,121,75.4%,259,73,78.0%,111,48,69.8%
"
                    Donald Anderson",New Mexico Fencing Foundation,53,342,13.4%,48,285,14.4%,5,57,8.1%
"
                    Janet Marsh",No Fear Fencing,51,47,52.0%,41,36,53.2%,10,11,47.6%
"
                    Camille Lambert",Sebastiani Fencing Academy,30,56,34.9%,24,43,35.8%,6,13,31.6%
"
                    Jonathan M. Cohen",New Orleans Fencers Club / Mobetes,-,-,-,-,-,-,-,-,-
"
                    Ian Woodall","Round Rock Fencing Club, LLC",46,98,31.9%,36,78,31.6%,10,20,33.3%
"
                    Justin Lau","Stamford Fencing Center, LLC / Allegro Fencing Center",180,187,49.0%,135,140,49.1%,45,47,48.9%
"
                    Jaabili Mallampati",Frisco Fencing Academy,57,70,44.9%,44,55,44.4%,13,15,46.4%
"
                    Nicholas Zografos",New York Fencing Academy,107,248,30.1%,88,202,30.3%,19,46,29.2%
"
                    Lashia Arulkumar",Academy Of Fencing Masters (AFM),90,117,43.5%,69,90,43.4%,21,27,43.8%
"
                    Jared Otake",Silicon Valley Fencing Center,317,172,64.8%,228,116,66.3%,89,56,61.4%
"
                    Braden Burge",Valkyrie Fencing Club,5,3,62.5%,4,2,66.7%,1,1,50.0%
"
                    Sullivan Kim",LA International Fencing,561,551,50.4%,415,416,49.9%,146,135,52.0%
"
                    Konstantin Lokhanov",Spartak,22,1,95.7%,11,-,100.0%,11,1,91.7%
"
                    Tiffany Luong","Fencing Sports Academy, Inc.",25,27,48.1%,18,22,45.0%,7,5,58.3%
"
                    Ian Newell",Bayou City Fencing Academy,255,209,55.0%,188,159,54.2%,67,50,57.3%
"
                    Michael Oles",Academies Of Fencing In Baltimore / Salle Palasz,-,-,-,-,-,-,-,-,-
"
                    Michael Facci",Forge Fencing Teams / Rochester Fencing Club,3,4,42.9%,3,3,50.0%,-,1,0.0%
"
                    Marketa Douglas",Rhode Island Fencing Academy And Club,155,150,50.8%,122,111,52.4%,33,39,45.8%
"
                    Rita Comes",Cardinal Fencing Club,64,97,39.8%,54,74,42.2%,10,23,30.3%
"
                    Todd Hensley",Out Of Nowhere Fencing Club,19,26,42.2%,15,20,42.9%,4,6,40.0%
